id,area,memory,resoloution,eccentricity,convex,cores,extent,perimeter,price,cores,class
1,4537,92.2293165,64.01276874,0.7199162256,4677,76.00452496,0.6575362319,273.085,0.7645096145,1.440795615,1
2,2872,74.69188071,51.40045446,0.7255527468,3015,60.47101762,0.7130089374,208.317,0.8316582009,1.453136582,1
3,3048,76.2931638,52.04349114,0.7312109273,3132,62.29634124,0.7591531756,210.012,0.8684335737,1.465950153,1
4,3073,77.03362772,51.92848667,0.7386386945,3157,62.55129991,0.7835288118,210.657,0.8702031163,1.48345605,1
5,3693,85.12478457,56.37402054,0.7492815788,3802,68.5716679,0.769375,230.332,0.8747432792,1.51000024,1
6,2990,77.41707342,50.9543441,0.7528608886,3080,61.70077989,0.5848982786,216.93,0.798439143,1.519341968,1
7,3556,84.32356418,55.41306133,0.7537615734,3636,67.28773901,0.7502109705,227.007,0.8671477822,1.521727227,1
8,3788,86.95241143,56.44476861,0.7606642424,3866,69.44804818,0.8006763898,235.476,0.8584727903,1.540486631,1
9,2629,74.13311404,48.07414422,0.7612282171,2790,57.8562595,0.6405945419,207.325,0.7685941985,1.542057903,1
10,5719,106.7211415,68.97769987,0.7630530565,5819,85.33262539,0.7549834983,281.839,0.9047483132,1.547183245,1
11,2665,74.36402121,48.05318758,0.7631777049,2777,58.25103765,0.5967308554,202.456,0.8170446174,1.547535657,1
12,3231,81.3042004,52.4511359,0.7640795022,3330,64.13919994,0.6149600305,218.773,0.8483193583,1.550094178,1
13,2805,77.04768244,49.24267814,0.7691074267,2950,59.76150034,0.6032258065,209.823,0.8006386387,1.564652561,1
14,3265,83.37848692,52.76486452,0.7742862903,3420,64.47578703,0.5758377425,227.853,0.7902846518,1.580189539,1
15,4301,94.91539197,59.82281961,0.7763717836,4427,74.00137351,0.8012295082,257.607,0.8144491728,1.586608465,1
16,3393,84.05848002,52.95148583,0.7766468237,3477,65.72748113,0.6885146104,224.485,0.8460948855,1.587462159,1
17,3475,84.58114773,53.1912048,0.7775041685,3539,66.5169709,0.6522147147,221.295,0.8917055506,1.590134084,1
18,4577,98.35854914,60.7533301,0.7864357544,4652,76.33883282,0.5917259211,259.184,0.8561983771,1.618982021,1
19,3028,81.27755239,49.16736189,0.7962774192,3114,62.09162054,0.7536087606,211.667,0.849296679,1.653079386,1
20,3552,88.02937756,53.17603697,0.7969301343,3654,67.24988374,0.6237050044,232.122,0.8284193098,1.65543321,1
21,3852,92.20828955,55.27701192,0.8003898458,4023,70.03226918,0.6539898132,245.517,0.8030322832,1.668112772,1
